"","handle","time","tweet","joy","fear","sadness","disgust","anger"
"61","realDonaldTrump","2017-02-09 13:19:08","Chris Cuomo, in his interview with Sen. Blumenthal, never asked him about his long-term lie about his brave ""service"" in Vietnam. FAKE NEWS!","0.022354","0.292408","0.370658","0.289269","0.10114"
"62","realDonaldTrump","2017-02-09 11:57:59","Sen.Richard Blumenthal, who never fought in Vietnam when he said for years he had (major lie),now misrepresents what Judge Gorsuch told him?","0.008885","0.303083","0.557306","0.110715","0.165298"
"63","realDonaldTrump","2017-02-09 01:05:53","Congratulations to our new Attorney General, @SenatorSessions! https://t.co/e0buP1K83z","0","0","0","0","0"
"64","realDonaldTrump","2017-02-08 22:07:18","'Trump administration seen as more truthful than news media'
https://t.co/6LmsR5JOSW","0.19801","0.153082","0.430703","0.230533","0.060237"
"65","realDonaldTrump","2017-02-08 21:46:14","'Majority in Leading EU Nations Support Trump-Style Travel Ban' 
Poll of more than 10,000 people in 10 countries...https://t.co/KWsIWhtC9o","0.224649","0.065976","0.563411","0.182223","0.044568"
"66","realDonaldTrump","2017-02-08 19:39:51","'Immigration Ban Is One Of Trump's Most Popular Orders So Far' https://t.co/wAelwuQ4BE","0.303253","0.143453","0.281065","0.091389","0.227938"
"67","realDonaldTrump","2017-02-08 19:22:33","Thank you Brian Krzanich, CEO of @Intel. A great investment ($7 BILLION) in American INNOVATION and JOBS!… https://t.co/oicfDsPKHQ","0.83851","0.076993","0.06985","0.030593","0.018801"
"68","realDonaldTrump","2017-02-08 17:41:09","Big increase in traffic into our country from certain areas, while our people are far more vulnerable, as we wait for what should be EASY D!","0.120618","0.244801","0.376651","0.179149","0.191353"
"69","realDonaldTrump","2017-02-08 15:54:01","'16 Fake News Stories Reporters Have Run Since Trump Won' https://t.co/0dHld5kiVc","0","0","0","0","0"
"70","realDonaldTrump","2017-02-08 15:51:01","My daughter Ivanka has been treated so unfairly by @Nordstrom. She is a great person -- always pushing me to do the right thing! Terrible!","0.175984","0.079686","0.050409","0.159903","0.601956"
"71","realDonaldTrump","2017-02-08 15:23:29","Thank you to our great Police Chiefs &amp; Sheriffs for your leadership &amp; service. You have a true friend in the… https://t.co/Lysnv8ZR1h","0.691438","0.272648","0.033197","0.037577","0.038538"
"72","realDonaldTrump","2017-02-08 13:04:47","I will be speaking at 9:00 A.M. today to Police Chiefs and Sheriffs and will be discussing the horrible, dangerous and wrong decision.......","0.035993","0.281591","0.516299","0.179686","0.14003"
"73","realDonaldTrump","2017-02-08 12:03:18","If the U.S. does not win this case as it so obviously should, we can never have the security and safety to which we are entitled. Politics!","0.008873","0.395502","0.459372","0.118065","0.151302"
"74","realDonaldTrump","2017-02-08 01:04:00","It is a disgrace that my full Cabinet is still not in place, the longest such delay in the history of our country. Obstruction by Democrats!","0.004878","0.015702","0.49593","0.424872","0.19725"
"75","realDonaldTrump","2017-02-07 16:25:13","An honor having the National Sheriffs' Assoc. join me at the @WhiteHouse. Incredible men &amp; women who protect &amp; serv… https://t.co/1LkhbCNh8L","0.444451","0.073147","0.211864","0.339594","0.030829"
"76","realDonaldTrump","2017-02-07 12:11:29","I don't know Putin, have no deals in Russia, and the haters are going crazy - yet Obama can make a deal with Iran, #1 in terror, no problem!","0","0","0","0","0"
"77","realDonaldTrump","2017-02-07 02:49:28","The threat from radical Islamic terrorism is very real, just look at what is happening in Europe and the Middle-East. Courts must act fast!","0.013783","0.514414","0.411692","0.131993","0.033962"
"78","realDonaldTrump","2017-02-07 02:33:55","The failing @nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win. Now they are worse!","0.005729","0.079248","0.750236","0.132342","0.166543"
"79","realDonaldTrump","2017-02-06 23:33:52","An extended interview from the Super Bowl with @oreillyfactor airs tonight at 8:00 P.M. Enjoy! https://t.co/kZdHqaNTVR","0.809009","0.083757","0.076009","0.045154","0.038584"
